Order,Compress,CandidatesA,CandidatesB,Pairs,Candidates,UncompressedPairs,Uncompression,Total
34,1,9735,77880,732,255s,0,0s,255s
34,2,2053,20500,797,3s,2964,2s,5s
32,1,7588,53408,2752,72s,0,0s,72s
32,1,7588,53408,2752,75s,0,0s,75s
26,1,289,1722,102,1s,0,0s,1s
32,1,7588,53408,2752,67s,0,0s,67s
32,1,7588,53408,2752,40s,0,0s,40s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,35s,0,0s,35s
32,1,7588,53408,2752,61s,0,0s,61s
32,1,7588,53408,2752,244s,0,0s,244s
32,1,7588,53408,2752,125s,0,0s,125s
26,1,289,1722,102,2s,0,0s,2s
16,1,14,41,21,0s,0,0s,0s
32,2,1234,3523,2330,1s,37312,4s,5s
26,1,289,1722,102,3s,0,0s,3s
16,1,14,41,21,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
16,1,0,0,0,0s,0,0s,0s
34,2,2053,20500,797,10s,2964,1s,11s
34,2,2113,20500,797,9s,2964,1s,10s
32,2,1234,3523,2330,2s,37312,3s,5s
26,1,289,1722,102,3s,0,0s,3s
26,2,95,905,62,0s,408,0s,0s
34,2,2053,20500,797,9s,2964,1s,10s
34,2,28450,20500,6368,4s,23584,11s,15s
34,2,2113,20500,797,9s,2964,1s,10s
34,2,28450,20500,6368,37s,23584,12s,49s
34,2,2053,20500,797,44s,2964,1s,46s
32,2,4506,3523,8410,1s,100096,13s,14s
50,2,1183287,17108042,107758,29613s,42168,1002s,30669s
26,2,101,905,62,0s,408,1s,1s
34,2,2113,20500,797,9s,2964,1s,10s
40,2,31510,112499,30203,86s,135992,98s,184s
34,2,2113,20500,797,9s,2964,2s,11s
32,2,1234,3523,2330,2s,37312,3s,5s
26,1,289,1722,102,3s,0,0s,3s
16,1,14,41,21,0s,0,0s,0s
40,2,31510,112499,30203,363s,135992,89s,452s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,10s,0,0s,10s
34,2,2053,20500,797,41s,2964,1s,42s
32,2,1234,3523,2330,6s,37312,3s,9s
20,1,70,265,56,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
10,1,1,2,1,0s,0,0s,0s
4,1,1,1,1,0s,0,0s,0s
2,1,1,1,1,0s,0,0s,0s
26,1,289,1722,102,10s,0,0s,10s
4,1,1,1,1,0s,0,0s,0s
4,1,1,1,1,0s,0,0s,0s
4,1,1,1,1,0s,0,0s,0s
4,1,1,1,1,0s,0,0s,0s
4,1,1,1,1,0s,0,0s,0s
2,1,1,1,1,0s,0,0s,0s
8,1,3,4,3,0s,0,0s,0s
8,1,3,4,3,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
40,2,31510,112499,30203,325s,135992,86s,411s
34,2,2053,20500,797,41s,2964,1s,42s
16,2,12,15,19,0s,256,0s,0s
32,2,1234,3523,2330,7s,37312,3s,10s
26,1,289,1722,102,10s,0,0s,10s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,10s,0,0s,10s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,11s,0,0s,11s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,10s,0,0s,10s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
26,1,289,1722,102,11s,0,0s,11s
16,1,14,41,21,0s,0,0s,0s
2,1,2,1,2,0s,0,0s,0s
4,1,4,4,16,0s,0,0s,0s
8,1,48,28,384,0s,0,0s,0s
10,1,40,40,800,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,1s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,1s
16,1,1216,1216,57344,0s,0,0s,0s
16,1,1216,1216,57344,0s,0,0s,1s
16,1,1216,1216,57344,0s,0,0s,1s
26,1,289,1722,102,10s,0,0s,10s
16,1,14,41,21,1s,0,0s,1s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
32,2,1234,3523,2330,7s,37312,3s,10s
32,2,1234,3523,2330,6s,37312,3s,9s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
32,2,1234,3523,2330,7s,37312,3s,10s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,1s,0,0s,1s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
32,2,1234,3523,2330,8s,37312,3s,11s
32,2,1234,3523,2330,7s,37312,4s,11s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,0s,0,0s,0s
16,1,14,41,21,1s,0,0s,1s
16,1,14,41,21,0s,0,0s,0s
18,2,12,42,0,0s,0,0s,0s
50,2,1337323,15925323,211346,92008s,21644,2262s,94345s
16,1,14,41,21,0s,0,0s,0s
34,1,9735,77880,732,1618s,0,0s,1618s
32,1,7588,53408,2752,687s,0,0s,687s
26,1,289,1722,102,12s,0,0s,12s
32,4,85,120,142,0s,639488,8s,8s
40,2,31510,112499,30203,354s,135992,96s,450s
34,2,2053,20500,797,45s,2964,1s,46s
32,2,1234,3523,2330,7s,37312,4s,11s
26,2,95,905,62,1s,408,0s,1s
16,2,12,15,19,0s,256,0s,0s
